clinic_name,address,district,neighborhood,services_offered,operating_days,operating_hours,contact_info,latitude,longitude,accessibility_features,data_source
"Tierarztpraxis - Dr. med. vet. Dirk Emmelmann, Dr. med. vet. Albrecht Fengler","Max-Beer-Straße 7, nan",Mitte,Mitte,,,"Mo, Tu, Th, Fr 09:00-12:00, 15:00-19:00; We 15:00-19:00",Phone: +49 30 2426512 | Website: https://www.augentierarzt-berlin.de,52.5251722,13.408013,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis & Katzenbetreuung am Botanischen Garten,"Tietzenweg 23, nan",Steglitz-Zehlendorf,Lichterfelde,,,"Mo, We 10:00-19:00; Tu, Th 08:30-14:00; Sa 10:00-12:00; Fr 10:00-14:00",Phone: +49 30 32294480 | Website: https://www.tierarztpraxis-botanischergarten.de,52.4456015,13.3020665,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Janine Bräuer,"Krüllsstraße 5, 12435.0 Berlin",Treptow-Köpenick,Alt-Treptow,,,"Mo 10:00-12:00,13:00-16:00; Tu 16:00-19:00; We 12:00-17:00; Fr,Sa 10:00-12:00; Th,Su off",,52.4922101,13.447823,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierärztezentrum Birte Nannen,"Schlierbacher Weg 5, 12349.0 Berlin",Neukölln,Buckow,,,,Phone: +49 30 25 92 17 88 | Website: https://www.tieraerztezentrum-nannen.de,52.4160917,13.4047411,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Praxis für Kleine Haustiere Dr. Niels Lösch,nan,Lichtenberg,Alt-Hohenschönhausen,,,"Mo-We, Fr 10:00-12:00; Mo, Tu, Th 16:00-19:00; Fr 16:00-18:00; Sa 11:00-12:30",Phone: +49309866411 | Email: info@tierarzt-drloesch.de | Website: https://tierarzt-drloesch.de,52.5399544,13.4849492,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. Pastor,"Brüsseler Straße 52a, 13353.0 Berlin",Mitte,Wedding,,Mon–Fri,"Mo-Fr 09:00-11:00,16:00-19:00; Sa,Su 14:00-16:00",Website: https://www.tierarztpraxis-pastor.de/,52.5486928,13.3531883,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Sonnenberg,nan,Treptow-Köpenick,Rahnsdorf,,,,,52.4406394,13.6866147,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Wasserturm,"Rykestraße 4, 10405.0",Pankow,Prenzlauer Berg,,,,Website: https://www.tierarztpraxis-wasserturm.de/,52.5350637,13.419688,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Haveldüne,"Gatower Straße 131, nan",Spandau,Wilhelmstadt,,,,Phone: +49 30 362 91 07 | Website: https://www.tierarztpraxis-havelduene.de,52.508699,13.180438,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Praxis für Vögel & Reptilien,"Berliner Str. 69, 14169.0 Berlin",Steglitz-Zehlendorf,Zehlendorf,,,"Mo 09:00-13:00; Tu 15:00-19:00; We 09:00-13:00,15:00-19:00; Th 09:00-13:00; Fr 09:00-13:00,15:00-19:00",Phone: +4930 847 257 38 | Website: https://www.vogel-tierarzt.de,52.4399433,13.2754078,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierartzpraxis Sybille Schickert,nan,Reinickendorf,Wittenau,,,,,52.5937039,13.3282999,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Roux,nan,Spandau,Kladow,,,,Website: https://www.tierarztpraxis-roux.de/,52.452648,13.139175,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
